10,1962,27,3
10,2137,26,3
10,1753,18,4
10,1718,18,3
10,1872,20,3
10,1655,16,6
10,1933,29,11
10,1834,27,4
10,1725,20,3
10,1966,25,14
10,2149,28,18
10,1840,28,11
10,1631,16,4
10,1630,16,3
10,1605,16,3
10,1880,20,3
10,1765,19,3
10,2124,24,3
10,1627,16,4
10,1648,16,3
10,2392,32,3
10,1618,16,4
10,1648,16,3
10,1726,20,4
10,5229,78,3
10,2188,29,3
10,1881,21,4
10,1817,21,11
10,1822,21,3
10,1902,20,3
10,1654,17,3
10,1923,28,11
10,1769,18,8
10,1650,16,4
10,2030,22,3
10,1894,20,3
10,1807,19,4
10,2212,27,3
10,1578,16,4
10,1605,16,6
10,1636,16,6
11,2068,24,3
11,1965,23,4
11,2187,30,7
11,1831,20,7
11,1976,23,8
11,1963,23,4
11,1990,29,4
11,1986,23,4
11,2076,24,10
11,1981,22,8
11,2329,29,14
11,2067,24,10
11,1825,20,4
11,2294,28,14
11,1827,20,6
11,1862,21,4
11,2007,25,4
11,2073,24,3
11,2068,24,7
11,1825,20,4
11,1774,19,7
11,1964,22,8
11,1825,20,7
11,2295,29,7
11,1825,20,6
11,1996,25,5
11,1969,24,4
11,2083,25,10
11,1981,24,8
11,1825,20,4
11,1977,22,4
11,2068,24,3
11,1903,21,7
11,1889,22,4
11,2450,33,7
11,2010,25,8
11,1882,21,7
11,1827,20,3
11,1825,20,4
11,1963,23,7
11,1994,24,4
11,1824,20,4
11,2099,25,4
11,1774,19,5
11,2091,25,10
11,1980,23,8
11,1903,23,4
11,1869,21,7
11,2022,24,4
11,1920,25,6
11,1779,19,4
11,1980,22,8
11,1867,21,4
11,1998,23,3
11,1976,23,4
11,1865,20,6
11,1813,19,3
11,2832,38,4
11,1829,20,3
11,2091,25,4
11,2294,28,3
11,1964,22,4
11,1973,23,8
11,1957,22,8
11,1808,20,4
11,1957,22,8
11,1856,21,7
11,1841,21,4
11,1951,22,4
11,1947,22,4
11,2065,25,10
11,2095,24,7
11,1958,23,4
11,1882,21,4
11,1939,22,8
11,1825,20,4
11,1889,20,6
11,1938,22,7
11,1923,23,7
11,2481,33,16
11,2077,24,10
11,1903,21,7
11,1849,20,6
11,1782,20,7
11,2159,26,6
11,1824,20,6
11,1969,23,7
11,1927,21,4
11,2169,26,3
11,2300,29,14
11,2074,28,8
11,1951,22,3
11,2098,25,4
11,1825,20,4
11,2295,29,4
